DROIDMATE,Adobe_Reader,1,1,2
DROIDMATE,Adobe_Reader,1,5,2
DROIDMATE,Adobe_Reader,1,10,2
DROIDMATE,Adobe_Reader,1,15,2
DROIDMATE,Adobe_Reader,1,30,2
DROIDMATE,Adobe_Reader,1,60,2
DROIDMATE,Adobe_Reader,1,120,2
DROIDMATE,Adobe_Reader,10,1,2
DROIDMATE,Adobe_Reader,10,5,2
DROIDMATE,Adobe_Reader,10,10,2
DROIDMATE,Adobe_Reader,10,15,2
DROIDMATE,Adobe_Reader,10,30,2
DROIDMATE,Adobe_Reader,10,60,2
DROIDMATE,Adobe_Reader,10,120,2
DROIDMATE,Adobe_Reader,2,1,2
DROIDMATE,Adobe_Reader,2,5,2
DROIDMATE,Adobe_Reader,2,10,2
DROIDMATE,Adobe_Reader,2,15,2
DROIDMATE,Adobe_Reader,2,30,2
DROIDMATE,Adobe_Reader,2,60,2
DROIDMATE,Adobe_Reader,2,120,2
DROIDMATE,Adobe_Reader,3,1,2
DROIDMATE,Adobe_Reader,3,5,2
DROIDMATE,Adobe_Reader,3,10,2
DROIDMATE,Adobe_Reader,3,15,2
DROIDMATE,Adobe_Reader,3,30,2
DROIDMATE,Adobe_Reader,3,60,2
DROIDMATE,Adobe_Reader,3,120,2
DROIDMATE,Adobe_Reader,4,1,2
DROIDMATE,Adobe_Reader,4,5,2
DROIDMATE,Adobe_Reader,4,10,2
DROIDMATE,Adobe_Reader,4,15,2
DROIDMATE,Adobe_Reader,4,30,2
DROIDMATE,Adobe_Reader,4,60,2
DROIDMATE,Adobe_Reader,4,120,2
DROIDMATE,Adobe_Reader,5,1,2
DROIDMATE,Adobe_Reader,5,5,2
DROIDMATE,Adobe_Reader,5,10,2
DROIDMATE,Adobe_Reader,5,15,2
DROIDMATE,Adobe_Reader,5,30,2
DROIDMATE,Adobe_Reader,5,60,2
DROIDMATE,Adobe_Reader,5,120,2
DROIDMATE,Adobe_Reader,6,1,2
DROIDMATE,Adobe_Reader,6,5,2
DROIDMATE,Adobe_Reader,6,10,2
DROIDMATE,Adobe_Reader,6,15,2
DROIDMATE,Adobe_Reader,6,30,2
DROIDMATE,Adobe_Reader,6,60,2
DROIDMATE,Adobe_Reader,6,120,2
DROIDMATE,Adobe_Reader,7,1,2
DROIDMATE,Adobe_Reader,7,5,2
DROIDMATE,Adobe_Reader,7,10,2
DROIDMATE,Adobe_Reader,7,15,2
DROIDMATE,Adobe_Reader,7,30,2
DROIDMATE,Adobe_Reader,7,60,2
DROIDMATE,Adobe_Reader,7,120,2
DROIDMATE,Adobe_Reader,8,1,2
DROIDMATE,Adobe_Reader,8,5,2
DROIDMATE,Adobe_Reader,8,10,2
DROIDMATE,Adobe_Reader,8,15,2
DROIDMATE,Adobe_Reader,8,30,2
DROIDMATE,Adobe_Reader,8,60,2
DROIDMATE,Adobe_Reader,8,120,2
DROIDMATE,Adobe_Reader,9,1,2
DROIDMATE,Adobe_Reader,9,5,2
DROIDMATE,Adobe_Reader,9,10,2
DROIDMATE,Adobe_Reader,9,15,2
DROIDMATE,Adobe_Reader,9,30,2
DROIDMATE,Adobe_Reader,9,60,2
DROIDMATE,Adobe_Reader,9,120,2
DROIDMATE,AntiVirus,1,1,17
DROIDMATE,AntiVirus,1,5,17
DROIDMATE,AntiVirus,1,10,17
DROIDMATE,AntiVirus,1,15,17
DROIDMATE,AntiVirus,1,30,17
DROIDMATE,AntiVirus,1,60,17
DROIDMATE,AntiVirus,1,120,17
DROIDMATE,AntiVirus,10,1,16
DROIDMATE,AntiVirus,10,5,20
DROIDMATE,AntiVirus,10,10,59
DROIDMATE,AntiVirus,10,15,59
DROIDMATE,AntiVirus,10,30,59
DROIDMATE,AntiVirus,10,60,59
DROIDMATE,AntiVirus,10,120,59
DROIDMATE,AntiVirus,2,1,15
DROIDMATE,AntiVirus,2,5,16
DROIDMATE,AntiVirus,2,10,16
DROIDMATE,AntiVirus,2,15,16
DROIDMATE,AntiVirus,2,30,28
DROIDMATE,AntiVirus,2,60,55
DROIDMATE,AntiVirus,2,120,55
DROIDMATE,AntiVirus,3,1,15
DROIDMATE,AntiVirus,3,5,16
DROIDMATE,AntiVirus,3,10,16
