Tool,Index,Permissions
MONKEY,1,111
MONKEY,2,68
MONKEY,3,101
MONKEY,4,44
MONKEY,5,49
MONKEY,6,60
MONKEY,7,59
MONKEY,8,99
MONKEY,9,84
MONKEY,10,58
SAPIENZ,1,80
SAPIENZ,2,67
SAPIENZ,3,61
SAPIENZ,4,61
SAPIENZ,5,62
SAPIENZ,6,28
SAPIENZ,7,60
SAPIENZ,8,85
SAPIENZ,9,74
SAPIENZ,10,94
DROIDMATE,1,69
DROIDMATE,2,96
DROIDMATE,3,80
DROIDMATE,4,68
DROIDMATE,5,88
DROIDMATE,6,71
DROIDMATE,7,60
DROIDMATE,8,67
DROIDMATE,9,73
DROIDMATE,10,106
