Seconds	Methods
10	10
20	10
30	10
40	16
50	16
60	16
70	16
80	16
90	16
100	17
110	20
120	20
130	20
140	20
150	20
160	20
170	20
180	20
190	20
200	20
210	20
220	20
230	20
240	20
250	20
260	20
270	20
280	20
290	20
300	20
310	20
320	20
330	20
340	20
350	20
360	20
370	20
380	20
390	20
400	20
410	20
420	20
430	20
440	20
450	20
460	20
470	20
480	20
490	20
500	20
510	20
520	20
530	20
540	20
550	59
560	59
570	59
580	59
590	59
600	59
610	59
620	59
630	59
640	59
650	59
660	59
670	59
680	59
690	59
700	59
710	59
720	59
730	59
740	59
750	59
760	59
770	59
780	59
790	59
800	59
810	59
820	59
830	59
840	59
850	59
860	59
870	59
880	59
890	59
900	59
910	59
920	59
930	59
940	59
950	59
960	59
970	59
980	59
990	59
1000	59
1010	59
1020	59
1030	59
1040	59
1050	59
1060	59
1070	59
1080	59
1090	59
1100	59
1110	59
1120	59
1130	59
1140	59
1150	59
1160	59
1170	59
1180	59
1190	59
1200	59
1210	59
1220	59
1230	59
1240	59
1250	59
1260	59
1270	59
1280	59
1290	59
1300	59
1310	59
1320	59
1330	59
1340	59
1350	59
1360	59
1370	59
1380	59
1390	59
1400	59
1410	59
1420	59
1430	59
1440	59
1450	59
1460	59
1470	59
1480	59
1490	59
1500	59
1510	59
1520	59
1530	59
1540	59
1550	59
1560	59
1570	59
1580	59
1590	59
1600	59
1610	59
1620	59
1630	59
1640	59
1650	59
1660	59
1670	59
1680	59
1690	59
1700	59
1710	59
1720	59
1730	59
1740	59
1750	59
1760	59
1770	59
1780	59
1790	59
1800	59
1810	59
1820	59
1830	59
1840	59
1850	59
1860	59
1870	59
1880	59
1890	59
1900	59
1910	59
1920	59
1930	59
1940	59
1950	59
1960	59
1970	59
1980	59
1990	59
2000	59
2010	59
2020	59
2030	59
2040	59
2050	59
2060	59
2070	59
2080	59
2090	59
2100	59
2110	59
2120	59
2130	59
2140	59
2150	59
2160	59
2170	59
2180	59
2190	59
2200	59
2210	59
2220	59
2230	59
2240	59
2250	59
2260	59
2270	59
2280	59
2290	59
2300	59
2310	59
2320	59
2330	59
2340	59
2350	59
2360	59
2370	59
2380	59
2390	59
2400	59
2410	59
2420	59
2430	59
2440	59
2450	59
2460	59
2470	59
2480	59
2490	59
2500	59
2510	59
2520	59
2530	59
2540	59
2550	59
2560	59
2570	59
2580	59
2590	59
2600	59
2610	59
2620	59
2630	59
2640	59
2650	59
2660	59
2670	59
2680	59
2690	59
2700	59
2710	59
2720	59
2730	59
2740	59
2750	59
2760	59
2770	59
2780	59
2790	59
2800	59
2810	59
2820	59
2830	59
2840	59
2850	59
2860	59
2870	59
2880	59
2890	59
2900	59
2910	59
2920	59
2930	59
2940	59
2950	59
2960	59
2970	59
2980	59
2990	59
3000	59
3010	59
3020	59
3030	59
3040	59
3050	59
3060	59
3070	59
3080	59
3090	59
3100	59
3110	59
3120	59
3130	59
3140	59
3150	59
3160	59
3170	59
3180	59
3190	59
3200	59
3210	59
3220	59
3230	59
3240	59
3250	59
3260	59
3270	59
3280	59
3290	59
3300	59
3310	59
3320	59
3330	59
3340	59
3350	59
3360	59
3370	59
3380	59
3390	59
3400	59
3410	59
3420	59
3430	59
3440	59
3450	59
3460	59
3470	59
3480	59
3490	59
3500	59
3510	59
3520	59
3530	59
3540	59
3550	59
3560	59
3570	59
3580	59
3590	59
3600	59
3610	59
3620	59
3630	59
3640	59
3650	59
3660	59
3670	59
3680	59
3690	59
3700	59
3710	59
3720	59
3730	59
3740	59
3750	59
3760	59
3770	59
3780	59
3790	59
3800	59
3810	59
3820	59
3830	59
3840	59
3850	59
3860	59
3870	59
3880	59
3890	59
3900	59
3910	59
3920	59
3930	59
3940	59
3950	59
3960	59
3970	59
3980	59
3990	59
4000	59
4010	59
4020	59
4030	59
4040	59
4050	59
4060	59
4070	59
4080	59
4090	59
4100	59
4110	59
4120	59
4130	59
4140	59
4150	59
4160	59
4170	59
4180	59
4190	59
4200	59
4210	59
4220	59
4230	59
4240	59
4250	59
4260	59
4270	59
4280	59
4290	59
4300	59
4310	59
4320	59
4330	59
4340	59
4350	59
4360	59
4370	59
4380	59
4390	59
4400	59
4410	59
4420	59
4430	59
4440	59
4450	59
4460	59
4470	59
4480	59
4490	59
4500	59
4510	59
4520	59
4530	59
4540	59
4550	59
4560	59
4570	59
4580	59
4590	59
4600	59
4610	59
4620	59
4630	59
4640	59
4650	59
4660	59
4670	59
4680	59
4690	59
4700	59
4710	59
4720	59
4730	59
4740	59
4750	59
4760	59
4770	59
4780	59
4790	59
4800	59
4810	59
4820	59
4830	59
4840	59
4850	59
4860	59
4870	59
4880	59
4890	59
4900	59
4910	59
4920	59
4930	59
4940	59
4950	59
4960	59
4970	59
4980	59
4990	59
5000	59
5010	59
5020	59
5030	59
5040	59
5050	59
5060	59
5070	59
5080	59
5090	59
5100	59
5110	59
5120	59
5130	59
5140	59
5150	59
5160	59
5170	59
5180	59
5190	59
5200	59
5210	59
5220	59
5230	59
5240	59
5250	59
5260	59
5270	59
5280	59
5290	59
5300	59
5310	59
5320	59
5330	59
5340	59
5350	59
5360	59
5370	59
5380	59
5390	59
5400	59
5410	59
5420	59
5430	59
5440	59
5450	59
5460	59
5470	59
5480	59
5490	59
